index;Shape_Area;Shape_Leng;file;n_dt2011_0;n_official;n_sdt2011_;n_soi_offi;n_st2011_0;n_vt2011_0;sn;UID;file1;file2;st_2code;st_nm
34484;0.000650545781098;0.167248059207;villages_0_SpatialJoin2.shp;;;;DIU;;;DAMANDIU;73403;DAMANDIU;25;DD;Daman & Diu
34485;0.00022667403642;0.0717761105248;villages_0_SpatialJoin2.shp;;;;SAUDWADI;;;DAMANDIU;73404;DAMANDIU;25;DD;Daman & Diu
45766;0.000324208070335;0.0869398730511;villages_0_SpatialJoin2.shp;;;;MOTI DAMAN;;;DAMANDIU;84685;DAMANDIU;25;DD;Daman & Diu
45767;4.30476142594e-05;0.0274044599877;villages_0_SpatialJoin2.shp;;;;KHARWADI;;;DAMANDIU;84686;DAMANDIU;25;DD;Daman & Diu
45768;3.04638194108e-05;0.0318236063763;villages_0_SpatialJoin2.shp;;;;KATHRA;;;DAMANDIU;84687;DAMANDIU;25;DD;Daman & Diu
45769;0.000289719244973;0.0807331436085;villages_0_SpatialJoin2.shp;;;;KATHRA;;;DAMANDIU;84688;DAMANDIU;25;DD;Daman & Diu
45819;0.000470283166;0.0951062397157;villages_0_SpatialJoin2.shp;;;;CHALA;;;DAMANDIU;84738;DAMANDIU;25;DD;Daman & Diu
0;0.000650545781098;0.167248059207;missing_name_DAMANDIU.shp;;;;DIU;;;DAMANDIU;178273;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
1;0.00022667403642;0.0717761105248;missing_name_DAMANDIU.shp;;;;SAUDWADI;;;DAMANDIU;178274;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
2;0.000324208070335;0.0869398730511;missing_name_DAMANDIU.shp;;;;MOTI DAMAN;;;DAMANDIU;178275;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
3;4.30476142594e-05;0.0274044599877;missing_name_DAMANDIU.shp;;;;KHARWADI;;;DAMANDIU;178276;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
4;3.04638194108e-05;0.0318236063763;missing_name_DAMANDIU.shp;;;;KATHRA;;;DAMANDIU;178277;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
5;0.000289719244973;0.0807331436085;missing_name_DAMANDIU.shp;;;;KATHRA;;;DAMANDIU;178278;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
6;0.000470283166;0.0951062397157;missing_name_DAMANDIU.shp;;;;CHALA;;;DAMANDIU;178279;missing_name_DAMANDIU.shp;25;DD;Daman & Diu
0;0.00163504349856;0.249146918872;villages_25.shp;494;Zolawadi;03947;BUCHURWADA;25;524908;;545563;villages_25.shp;25;DD;Daman & Diu
1;0.000145214677492;0.0550582341253;villages_25.shp;494;Vanakbara;03947;BRANCAWARA;25;524907;;545564;villages_25.shp;25;DD;Daman & Diu
2;0.000118247325335;0.0629434134162;villages_25.shp;495;Zari;03948;ZARI;25;524925;;545565;villages_25.shp;25;DD;Daman & Diu
3;5.55004909588e-05;0.0355455784056;villages_25.shp;495;Thana Pardi;03948;THANA PARDI;25;524924;;545566;villages_25.shp;25;DD;Daman & Diu
4;3.41858552863e-05;0.0306665154321;villages_25.shp;495;Deva Pardi;03948;DEVA PARDI;25;524922;;545567;villages_25.shp;25;DD;Daman & Diu
5;2.32876691604e-05;0.0276635079157;villages_25.shp;495;Naila Pardi;03948;NAILA PARDI;25;524923;;545568;villages_25.shp;25;DD;Daman & Diu
6;0.000320436277549;0.0774702670881;villages_25.shp;495;Jampore;03948;JAMPORE;25;524920;;545569;villages_25.shp;25;DD;Daman & Diu
7;4.98209353529e-05;0.0348367462196;villages_25.shp;495;Bhamati;03948;BHAMTI;25;524918;;545570;villages_25.shp;25;DD;Daman & Diu
8;6.82984011392e-05;0.0421316733464;villages_25.shp;495;Dholar;03948;DHOLAR;25;524919;;545571;villages_25.shp;25;DD;Daman & Diu
9;0.000567209665855;0.105776711932;villages_25.shp;495;Kachigam (CT);03948;KACHGAM;25;524931;;545572;villages_25.shp;25;DD;Daman & Diu
10;6.02933225432e-05;0.0420239665129;villages_25.shp;495;Damanwada (Dama O-De-Cima);03948;DAMANWADA;25;524916;;545573;villages_25.shp;25;DD;Daman & Diu
11;0.000124041327668;0.0527746370054;villages_25.shp;495;Ringanwada;03948;RINGANWADA;25;524914;;545574;villages_25.shp;25;DD;Daman & Diu
12;0.000234321587124;0.0699469043805;villages_25.shp;495;Varkund;03948;VARKUND;25;524913;;545575;villages_25.shp;25;DD;Daman & Diu
13;0.000540006331842;0.104584030807;villages_25.shp;495;Dadhel (CT);03948;DABHEL;25;524930;;545576;villages_25.shp;25;DD;Daman & Diu
14;0.00041445039027;0.120461354928;villages_25.shp;495;Dunetha (CT);03948;DUNETHA;25;524929;;545577;villages_25.shp;25;DD;Daman & Diu
15;0.0002395306404;0.077308079059;villages_25.shp;495;Marwad (CT);03948;MARWAD;25;524926;;545578;villages_25.shp;25;DD;Daman & Diu
16;0.000135740596084;0.0464214502011;villages_25.shp;495;Devka;03948;DEVKA;25;524911;;545579;villages_25.shp;25;DD;Daman & Diu
17;0.000382965527644;0.0823700917699;villages_25.shp;495;Bhimpore (CT);03948;BHIMPORE;25;524928;;545580;villages_25.shp;25;DD;Daman & Diu
18;0.000382981362689;0.103925205777;villages_25.shp;495;Kadaiya (CT);03948;KADAIYA;25;524927;;545581;villages_25.shp;25;DD;Daman & Diu
19;0.000124805941126;0.0607295048741;villages_25.shp;495;Pariari;03948;PANARI;25;524921;;545582;villages_25.shp;25;DD;Daman & Diu
20;2.2866009858e-05;0.0365706492704;villages_25.shp;495;Palhit;03948;BHATHAIYA;25;524917;;545583;villages_25.shp;25;DD;Daman & Diu
21;0.000613100767294;0.109428614776;villages_25.shp;495;Magarwada;03948;AMBAWADI;25;524915;;545584;villages_25.shp;25;DD;Daman & Diu
22;0.000258362053943;0.0756553982167;villages_25.shp;495;Janivankad;03948;MOTI VANKAL;25;524912;;545585;villages_25.shp;25;DD;Daman & Diu
